Item,Description,Proper,Vender Desc,UM,UL,Crew,Output,Material,Labor,Equipment,Total
02-42-13-20,GUARDRAIL DEMOLITION,GUARDRAIL DEMOLITION,GUARDRAIL,,,,,,,,
02-42-13-20-0080,      Remove standard guardrail,      Remove standard guardrail,,,,,,,,,
02-42-13-20-0085,"Guardrail demolition, remove standard guardrail, steel",               Steel,"Remove standard guardrail, steel",LF,0.08,A1,300,,6.16,4.69,$10.85
02-42-13-20-0090,"Guardrail demolition, remove standard guardrail, wood",               Wood,"Remove standard guardrail, wood",LF,0.062,A1,390,,4.74,3.61,$8.35
02-42-13-20-1000,         Steel,         Steel,,,,,,,,,
02-42-13-20-1020,"Guardrail demolition, remove standard guardrail, steel, minimum",               Minimum,"Remove standard guardrail, steel, min",LF,0.06,A1,400,,4.62,3.52,$8.14
02-42-13-20-1030,"Guardrail demolition, remove standard guardrail, steel, average",               Average,"Remove standard guardrail, steel, avg",LF,0.08,A1,300,,6.16,4.69,$10.85
02-42-13-20-1040,"Guardrail demolition, remove standard guardrail, steel, maximum",               Maximum,"Remove standard guardrail, steel, max",LF,0.12,A1,200,,9.24,7.04,$16.28
02-42-13-20-2000,         Wood,         Wood,,,,,,,,,
02-42-13-20-2020,"Guardrail demolition, remove standard guardrail, wood, minimum",               Minimum,"Remove standard guardrail, wood, min",LF,0.052,A1,460,,4.02,3.05,$7.08
02-42-13-20-2040,"Guardrail demolition, remove standard guardrail, wood, average",               Average,"Remove standard guardrail, wood, avg",LF,0.062,A1,390,,4.74,3.61,$8.35
02-42-13-20-2060,"Guardrail demolition, remove standard guardrail, wood, maximum",               Maximum,"Remove standard guardrail, wood, max",LF,0.1,A1,240,,7.7,5.86,$13.56
02-43,STRUCTURE MOVING,STRUCTURE MOVING,STRUCTURE MOVING,,,,,,,,
02-43-13-30,HYDRANT DEMOLITION,HYDRANT DEMOLITION,HYDRANT,,,,,,,,
02-43-13-30-1002,   Remove fire hydrant,   Remove fire hydrant,,,,,,,,,
02-43-13-30-1004,"Hydrant demolition, remove fire hydrant, minimum",               Minimum,"Remove fire hydrant, min",EA,3,A1,8,,228.8,176,$404.80
02-43-13-30-1006,"Hydrant demolition, remove fire hydrant, average",               Average,"Remove fire hydrant, avg",EA,4,A1,6,,308,237.6,$545.60
02-43-13-30-1008,"Hydrant demolition, remove fire hydrant, maximum",               Maximum,"Remove fire hydrant, max",EA,6,A1,4,,466.4,352,$818.40
02-43-13-30-5002,      Remove and reset fire hydrant,      Remove and reset fire hydrant,,,,,,,,,
02-43-13-30-5004,"Hydrant demolition, remove and reset fire hydrant, minimum",               Minimum,"Remove and reset fire hydrant, min",EA,8,A1,3,,616,466.4,"$1,082.40"
02-43-13-30-5006,"Hydrant demolition, remove and reset fire hydrant, average",               Average,"Remove and reset fire hydrant, avg",EA,12,A1,2,,924,704,"$1,628.00"
02-43-13-30-5008,"Hydrant demolition, remove and reset fire hydrant, maximum",               Maximum,"Remove and reset fire hydrant, max",EA,24,A1,1,,1848,1408,"$3,256.00"
02-44,PAVEMENT AND SIDEWALK DEMOLITION,PAVEMENT AND SIDEWALK DEMOLITION,PAVEMENT AND SIDEWALK DEMOLITION,,,,,,,,
02-44-13-40,PAVEMENT AND SIDEWALK DEMOLITION,PAVEMENT AND SIDEWALK DEMOLITION,PAVEMENT DEMOLITION,,,,,,,,
02-44-13-40-0090,"      Bituminous pavement, up to 3"" thick","      Bituminous pavement, up to 3"" thick",,,,,,,,,
02-44-13-40-0100,"Pavement and sidewalk demolition, bituminous pavement, up to 3"" thick, on streets",               On streets,"Demo, bitum pavement, up to 3"" thick, on streets",SY,0.096,A1,250,,7.39,5.63,$13.02
02-44-13-40-0102,            On streets,            On streets,,,,,,,,,
02-44-13-40-0104,"Pavement and sidewalk demolition, bituminous pavement, up to 3"" thick, on streets, minimum",               Minimum,"Demo, bitum paving, up to 3"" thick, on streets, min",SY,0.069,A1,350,,5.28,4.02,$9.30
02-44-13-40-0106,"Pavement and sidewalk demolition, bituminous pavement, up to 3"" thick, on streets, average",               Average,"Demo, bitum pavement, up to 3"" thick, on streets, avg",SY,0.096,A1,250,,7.39,5.63,$13.02
02-44-13-40-0108,"Pavement and sidewalk demolition, bituminous pavement, up to 3"" thick, on streets, maximum",               Maximum,"Demo, bitum pavement, up to 3"" thick, on streets, max",SY,0.16,A1,150,,12.32,9.46,$21.78
02-44-13-40-0200,"Pavement and sidewalk demolition, bituminous pavement, up to 3"" thick, on pipe trench",               On pipe trench,"Demo, bitum pavement, up to 3"" thick, on pipe trench",SY,0.12,A1,200,,9.24,7.04,$16.28
02-44-13-40-0202,            On pipe trench,            On pipe trench,,,,,,,,,
02-44-13-40-0204,"Pavement and sidewalk demolition, bituminous pavement, up to 3"" thick, on pipe trench, minimum",               Minimum,"Demo, bitum paving, up to 3"" thick, on pipe trnch, min",SY,0.096,A1,250,,7.39,5.63,$13.02
02-44-13-40-0206,"Pavement and sidewalk demolition, bituminous pavement, up to 3"" thick, on pipe trench, average",               Average,"Demo, bitum pavement, up to 3"" thk, on pipe trnch, avg",SY,0.12,A1,200,,9.24,7.04,$16.28
02-44-13-40-0208,"Pavement and sidewalk demolition, bituminous pavement, up to 3"" thick, on pipe trench, maximum",               Maximum,"Demo, bitum pavement, up to 3"" thk, on pipe trnch, max",SY,0.24,A1,100,,18.48,14.08,$32.56
02-44-13-40-0300,"      Concrete pavement, 6"" thick","      Concrete pavement, 6"" thick",,,,,,,,,
02-44-13-40-0400,"Pavement and sidewalk demolition, concrete pavement, 6"" thick, no reinforcement",               No reinforcement,"Paving demo, no reinforcement, 6"" thick",SY,0.16,A1,150,,12.32,9.46,$21.78
02-44-13-40-0402,            No reinforcement,            No reinforcement,,,,,,,,,
02-44-13-40-0404,"Pavement and sidewalk demolition, concrete pavement, 6"" thick, no reinforcement, minimum",               Minimum,"Demo, conc pavement, 6"" thick, no reinforcement, min",SY,0.12,A1,200,,9.24,7.04,$16.28
02-44-13-40-0406,"Pavement and sidewalk demolition, concrete pavement, 6"" thick, no reinforcement, average",               Average,"Demo, conc pavement, 6"" thick, no reinforcement, avg",SY,0.16,A1,150,,12.32,9.46,$21.78
02-44-13-40-0408,"Pavement and sidewalk demolition, concrete pavement, 6"" thick, no reinforcement, maximum",               Maximum,"Demo, conc pavement, 6"" thick, no reinforcement, max",SY,0.24,A1,100,,18.48,14.08,$32.56
02-44-13-40-0450,"Pavement and sidewalk demolition, concrete pavement, 6"" thick, with wire mesh",               With wire mesh,"Paving demo, with wire mesh, 6"" thick",SY,0.24,A1,100,,18.48,14.08,$32.56
02-44-13-40-0452,            With wire mesh,            With wire mesh,,,,,,,,,
02-44-13-40-0454,"Pavement and sidewalk demolition, concrete pavement, 6"" thick, with wire mesh, minimum",               Minimum,"Demo, conc pavement, 6"" thick, with wire mesh, min",SY,0.185,A1,130,,14.3,10.78,$25.08
02-44-13-40-0456,"Pavement and sidewalk demolition, concrete pavement, 6"" thick, with wire mesh, average",               Average,"Demo, conc pavement, 6"" thick, with wire mesh, avg",SY,0.24,A1,100,,18.48,14.08,$32.56
02-44-13-40-0458,"Pavement and sidewalk demolition, concrete pavement, 6"" thick, with wire mesh, maximum",               Maximum,"Demo, conc pavement, 6"" thick, with wire mesh, max",SY,0.3,A1,80,,23.1,17.6,$40.70
02-44-13-40-0550,"Pavement and sidewalk demolition, concrete pavement, 6"" thick, with rebars",               With rebars,"Paving demo, with rebars",SY,0.3,A1,80,,23.1,17.6,$40.70
02-44-13-40-0552,            With rebars,            With rebars,,,,,,,,,
02-44-13-40-0554,"Pavement and sidewalk demolition, concrete pavement, 6"" thick, with rebars, minimum",               Minimum,"Demo, conc pavement, 6"" thick, with rebars, min",SY,0.24,A1,100,,18.48,14.08,$32.56
02-44-13-40-0556,"Pavement and sidewalk demolition, concrete pavement, 6"" thick, with rebars, average",               Average,"Demo, conc pavement, 6""thick, with rebars, avg",SY,0.3,A1,80,,23.1,17.6,$40.70
02-44-13-40-0558,"Pavement and sidewalk demolition, concrete pavement, 6"" thick, with rebars, maximum",               Maximum,"Demo, conc pavement, 6"" thick, with rebars, max",SY,0.4,A1,60,,30.8,23.54,$54.34
02-44-13-40-1380,"         9"" thick","         9"" thick",,,,,,,,,
02-44-13-40-1400,"Pavement and sidewalk demolition, concrete pavement, 9"" thick, no reinforcement",               No reinforcement,"Demo, conc pavement, 9"" thick, no reinforcement",SY,0.2,A1,120,,15.4,11.66,$27.06
02-44-13-40-1402,            No reinforcement,            No reinforcement,,,,,,,,,
02-44-13-40-1404,"Pavement and sidewalk demolition, concrete pavement, 9"" thick, no reinforcement, minimum",               Minimum,"Demo, conc pavement, 9"" thick, no reinforcement, min",SY,0.16,A1,150,,12.32,9.46,$21.78
02-44-13-40-1406,"Pavement and sidewalk demolition, concrete pavement, 9"" thick, no reinforcement, average",               Average,"Demo, conc pavement, 9"" thick, no reinforcement, avg",SY,0.2,A1,120,,15.4,11.66,$27.06
02-44-13-40-1408,"Pavement and sidewalk demolition, concrete pavement, 9"" thick, no reinforcement, maximum",               Maximum,"Demo, conc pavement, 9"" thick, no reinforcement, max",SY,0.24,A1,100,,18.48,14.08,$32.56
02-44-13-40-1410,"Pavement and sidewalk demolition, concrete pavement, 9"" thick, with wire mesh",               With wire mesh,"Demo, conc pavement, 9"" thick, with wire mesh",SY,0.3,A1,80,,23.1,17.6,$40.70
02-44-13-40-1412,            With wire mesh,            With wire mesh,,,,,,,,,
02-44-13-40-1414,"Pavement and sidewalk demolition, concrete pavement, 9"" thick, with wire mesh, minimum",               Minimum,"Demo, conc pavement, 9"" thick, with wire mesh, min",SY,0.253,A1,95,,19.58,14.74,$34.32
02-44-13-40-1416,"Pavement and sidewalk demolition, concrete pavement, 9"" thick, with wire mesh, average",               Average,"Demo, conc pavement, 9"" thick, with wire mesh, avg",SY,0.3,A1,80,,23.1,17.6,$40.70
02-44-13-40-1418,"Pavement and sidewalk demolition, concrete pavement, 9"" thick, with wire mesh, maximum",               Maximum,"Demo, conc pavement, 9"" thick, with wire mesh, max",SY,0.369,A1,65,,28.38,21.56,$49.94
02-44-13-40-1420,"Pavement and sidewalk demolition, concrete pavement, 9"" thick, with rebars",               With rebars,"Demo, conc pavement, 9"" thick, with rebars",SY,0.4,A1,60,,30.8,23.54,$54.34
02-44-13-40-1422,            With rebars,            With rebars,,,,,,,,,
02-44-13-40-1424,"Pavement and sidewalk demolition, concrete pavement, 9"" thick, with rebars, minimum",               Minimum,"Demo, conc pavement, 9"" thick, with rebars, min",SY,0.32,A1,75,,24.64,18.7,$43.34
02-44-13-40-1426,"Pavement and sidewalk demolition, concrete pavement, 9"" thick, with rebars, average",               Average,"Demo, conc pavement, 9"" thick, with rebars, avg",SY,0.4,A1,60,,30.8,23.54,$54.34
02-44-13-40-1428,"Pavement and sidewalk demolition, concrete pavement, 9"" thick, with rebars,  maximum",               Maximum,"Demo, conc pavement, 9"" thick, with rebars, max",SY,0.533,A1,45,,41.14,31.24,$72.38
02-44-13-40-1440,"         12"" thick","         12"" thick",,,,,,,,,
02-44-13-40-1450,"Pavement and sidewalk demolition, concrete pavement, 12"" thick, no reinforcement",               No reinforcement,"Demo, conc pavement, 12 "" thick, no reinforcement",SY,0.24,A1,100,,18.48,14.08,$32.56
02-44-13-40-1452,            No reinforcement,            No reinforcement,,,,,,,,,
02-44-13-40-1454,"Pavement and sidewalk demolition, concrete pavement, 12"" thick, no reinforcement, minimum",               Minimum,"Demo, conc pavement, 12"" thick, no reinforcement, min",SY,0.2,A1,120,,15.4,11.66,$27.06
02-44-13-40-1456,"Pavement and sidewalk demolition, concrete pavement, 12"" thick, no reinforcement, average",               Average,"Demo, conc pavement, 12"" thick, no reinforcement, avg",SY,0.24,A1,100,,18.48,14.08,$32.56
02-44-13-40-1458,"Pavement and sidewalk demolition, concrete pavement, 12"" thick, no reinforcement, maximum",               Maximum,"Demo, conc pavement, 12"" thick, no reinforcement, max",SY,0.3,A1,80,,23.1,17.6,$40.70
02-44-13-40-1460,"Pavement and sidewalk demolition, concrete pavement, 12"" thick, with wire mesh",               With wire mesh,"Demo conc pavement, 12 "" thick, with wire mesh",SY,0.343,A1,70,,26.4,20.02,$46.42
02-44-13-40-1462,            With wire mesh,            With wire mesh,,,,,,,,,
02-44-13-40-1464,"Pavement and sidewalk demolition, concrete pavement, 12"" thick, with wire mesh, minimum",               Minimum,"Demo, conc pavement, 12"" thick, with wire mesh, min",SY,0.282,A1,85,,21.78,16.5,$38.28
02-44-13-40-1466,"Pavement and sidewalk demolition, concrete pavement, 12"" thick, with wire mesh, average",               Average,"Demo, conc pavement, 12"" thick, with wire mesh, avg",SY,0.343,A1,70,,26.4,20.02,$46.42
02-44-13-40-1468,"Pavement and sidewalk demolition, concrete pavement, 12"" thick, with wire mesh, maximum",               Maximum,"Demo, conc pavement, 12"" thick, with wire mesh, max",SY,0.436,A1,55,,33.66,25.52,$59.18
02-44-13-40-1470,"Pavement and sidewalk demolition, concrete pavement, 12"" thick, with rebars",               With rebars,"demo, conc pavement, 12"" thick, with rebars",SY,0.48,A1,50,,36.96,28.16,$65.12
02-44-13-40-1472,            With rebars,            With rebars,,,,,,,,,
02-44-13-40-1474,"Pavement and sidewalk demolition, concrete pavement, 12"" thick, with rebars, minimum",               Minimum,"Demo, conc pavement, 12"" thick, with rebars, min",SY,0.4,A1,60,,30.8,23.54,$54.34
02-44-13-40-1476,"Pavement and sidewalk demolition, concrete pavement, 12"" thick, with rebars, average",               Average,"Demo, conc pavement, 12"" thick, with rebars, avg",SY,0.48,A1,50,,36.96,28.16,$65.12
02-44-13-40-1478,"Pavement and sidewalk demolition, concrete pavement, 12"" thick, with rebars, maximum",               Maximum,"Demo, conc pavement, 12"" thick, with rebars, max",SY,0.6,A1,40,,46.64,35.2,$81.84
02-44-13-40-1500,"Pavement and sidewalk demolition, sidewalk, 4"" thick, with disposal","         Sidewalk, 4"" thick, with disposal","Demo, sidewalk, 4"" thick, with disposal",SY,0.08,A1,300,,6.16,4.69,$10.85
02-44-13-40-1502,"         Sidewalk, 4"" thick, with disposal","         Sidewalk, 4"" thick, with disposal",,,,,,,,,
02-44-13-40-1504,"Pavement and sidewalk demolition, sidewalk, 4"" thick, with disposal, minimum",               Minimum,"Demolish, sidewalk, 4"" thick, with disposal, min",SY,0.057,A1,420,,4.4,3.34,$7.74
02-44-13-40-1506,"Pavement and sidewalk demolition, sidewalk, 4"" thick, with disposal, average",               Average,"Demo, sidewalk, 4"" thick, with disposal, avg",SY,0.08,A1,300,,6.16,4.69,$10.85
02-44-13-40-1508,"Pavement and sidewalk demolition, sidewalk, 4"" thick, with disposal, maximum",               Maximum,"Demo, sidewalk, 4"" thick, with disposal, max",SY,0.114,A1,210,,8.8,6.7,$15.50
02-44-13-40-1800,"Pavement and sidewalk demolition, removal of pavement markings by waterblasting",      Removal of pavement markings by waterblasting,Removal of pavement markings by waterblasting,SF,0.004,LAB,2000,,0.31,,$0.31
02-44-13-40-1802,      Removal of pavement markings by waterblasting,      Removal of pavement markings by waterblasting,,,,,,,,,
02-44-13-40-1804,"Pavement and sidewalk demolition, removal of pavement markings by waterblasting, minimum",               Minimum,"Removal of pavement markings by waterblasting, min",SF,0.003,LAB,2400,,0.26,,$0.26
02-44-13-40-1806,"Pavement and sidewalk demolition, removal of pavement markings by waterblasting, average",               Average,"Removal of pavement markings by waterblasting, avg",SF,0.004,LAB,2000,,0.31,,$0.31
02-44-13-40-1808,"Pavement and sidewalk demolition, removal of pavement markings by waterblasting, maximum",               Maximum,"Removal of pavement markings by waterblasting, max",SF,0.008,LAB,1000,,0.62,,$0.62
02-45,DRAINAGE AND PIPING DEMOLITION,DRAINAGE AND PIPING DEMOLITION,DRAINAGE AND PIPING DEMOLITION,,,,,,,,
02-45-13-40,DRAINAGE PIPING DEMOLITION,DRAINAGE PIPING DEMOLITION,DRAINAGE PIPING,,,,,,,,
02-45-13-40-0100,"   Remove drainage pipe, not including excavation","   Remove drainage pipe, not including excavation",,,,,,,,,
02-45-13-40-0200,"Drainage piping demolition, remove drainage pipe, not including excavation, 12"" diameter","               12"" dia.","Remove drainage pipe, no excavation, 12"" dia.",LF,0.1,A1,240,,7.7,5.86,$13.56
02-45-13-40-0300,"Drainage piping demolition, remove drainage pipe, not including excavation, 18"" diameter","               18"" dia.","Remove drainage pipe, no excavation, 18"" dia.",LF,0.126,A1,190,,9.68,7.41,$17.09
02-45-13-40-0400,"Drainage piping demolition, remove drainage pipe, not including excavation, 24"" diameter","               24"" dia.","Remove drainage pipe, 24"" dia., no excavation",LF,0.16,A1,150,,12.32,9.46,$21.78
02-45-13-40-0450,"Drainage piping demolition, remove drainage pipe, not including excavation, 36"" diameter","               36"" dia.","Remove drainage pipe, 36"" dia., no excavation",LF,0.2,A1,120,,15.4,11.66,$27.06
02-45-13-40-1000,"   Remove drainage pipe, not including excavation","   Remove drainage pipe, not including excavation",,,,,,,,,
02-45-13-40-1020,"            12"" dia.","            12"" dia.",,,,,,,,,
02-45-13-40-1030,"Drainage piping demolition, remove drainage pipe, not including excavation , 12"" diameter, minimum",               Minimum,"Remove drainage pipe, without excavation, 12""D, min",LF,0.08,A1,300,,6.16,4.69,$10.85
02-45-13-40-1040,"Drainage piping demolition, remove drainage pipe, not including excavation , 12"" diameter, average",               Average,"Remove drainage pipe, without excavation, 12""D, avg",LF,0.1,A1,240,,7.7,5.86,$13.56
02-45-13-40-1050,"Drainage piping demolition, remove drainage pipe, not including excavation , 12"" diameter, maximum",               Maximum,"Remove drainage pipe, without excavation, 12""D, max",LF,0.126,A1,190,,9.68,7.41,$17.09
02-45-13-40-1100,"            18"" dia.","            18"" dia.",,,,,,,,,
02-45-13-40-1110,"Drainage piping demolition, remove drainage pipe, not including excavation , 18"" diameter, minimum",               Minimum,"Remove drainage pipe, without excavation, 18""D, min",LF,0.109,A1,220,,8.4,6.4,$14.80
02-45-13-40-1120,"Drainage piping demolition, remove drainage pipe, not including excavation , 18"" diameter, average",               Average,"Remove drainage pipe, without excavation, 18""D, avg",LF,0.126,A1,190,,9.68,7.41,$17.09
02-45-13-40-1130,"Drainage piping demolition, remove drainage pipe, not including excavation , 18"" diameter, maximum",               Maximum,"Remove drainage pipe, without excavation, 18""D, max",LF,0.16,A1,150,,12.32,9.46,$21.78
02-45-13-40-1200,"            24"" dia.","            24"" dia.",,,,,,,,,
02-45-13-40-1210,"Drainage piping demolition, remove drainage pipe, not including excavation , 24"" diameter, minimum",               Minimum,"Remove drainage pipe, without excavation, 24""D, min",LF,0.133,A1,180,,10.34,7.81,$18.15
02-45-13-40-1220,"Drainage piping demolition, remove drainage pipe, not including excavation , 24"" diameter, average",               Average,"Remove drainage pipe, without excavation, 24""D, avg",LF,0.16,A1,150,,12.32,9.46,$21.78
02-45-13-40-1230,"Drainage piping demolition, remove drainage pipe, not including excavation , 24"" diameter, maximum",               Maximum,"Remove drainage pipe, without excavation, 24""D, max",LF,0.2,A1,120,,15.4,11.66,$27.06
02-45-13-40-1300,"            36"" dia.","            36"" dia.",,,,,,,,,
02-45-13-40-1310,"Drainage piping demolition, remove drainage pipe, not including excavation , 36"" diameter, minimum",               Minimum,"Remove drainage pipe, without excavation, 36""D, min",LF,0.16,A1,150,,12.32,9.46,$21.78
02-45-13-40-1320,"Drainage piping demolition, remove drainage pipe, not including excavation , 36"" diameter, average",               Average,"Remove drainage pipe, without excavation, 36""D, avg",LF,0.2,A1,120,,15.4,11.66,$27.06
02-45-13-40-1330,"Drainage piping demolition, remove drainage pipe, not including excavation , 36"" diameter, maximum",               Maximum,"Remove drainage pipe, without excavation, 36""D, max",LF,0.253,A1,95,,19.58,14.74,$34.32
02-46,GAS PIPING DEMOLITION,GAS PIPING DEMOLITION,GAS PIPING DEMOLITION,,,,,,,,
02-46-13-40,GAS PIPING DEMOLITION,GAS PIPING DEMOLITION,GAS PIPING,,,,,,,,
02-46-13-40-0980,"   Remove welded steel pipe, not including excavation","   Remove welded steel pipe, not including excavation",,,,,,,,,
02-46-13-40-1000,"Gas piping demolition, remove welded steel pipe, not including excavation, 4"" diameter","               4"" dia.","Remove welded steel pipe, no excavation, 4"" dia.",LF,0.15,A1,160,,11.66,8.8,$20.46
02-46-13-40-1002,"            4"" dia.","            4"" dia.",,,,,,,,,
02-46-13-40-1004,"Gas piping demolition, remove welded steel pipe, not including excavation, 4"" diameter, minimum",               Minimum,"Remove welded steel pipe, w/out excavation, 4""D, min",LF,0.12,A1,200,,9.24,7.04,$16.28
02-46-13-40-1006,"Gas piping demolition, remove welded steel pipe, not including excavation, 4"" diameter, average",               Average,"Remove welded steel pipe, w/out excavation, 4""D, avg",LF,0.15,A1,160,,11.66,8.8,$20.46
02-46-13-40-1008,"Gas piping demolition, remove welded steel pipe, not including excavation, 4"" diameter, maximum",               Maximum,"Remove welded steel pipe, w/ou excavation, 4""D, max",LF,0.2,A1,120,,15.4,11.66,$27.06
02-46-13-40-2000,"Gas piping demolition, remove welded steel pipe, not including excavation, 5"" diameter","               5"" dia.","Remove welded steel pipe, no excavation, 5"" dia.",LF,0.24,A1,100,,18.48,14.08,$32.56
02-46-13-40-2002,"            5"" dia.","            5"" dia.",,,,,,,,,
02-46-13-40-2004,"Gas piping demolition, remove welded steel pipe, not including excavation, 5"" diameter, minimum",               Minimum,"Remove welded steel pipe, w/out excavation, 5""D, min",LF,0.2,A1,120,,15.4,11.66,$27.06
02-46-13-40-2006,"Gas piping demolition, remove welded steel pipe, not including excavation, 5"" diameter, average",               Average,"Remove welded steel pipe, w/out excavation, 5""D, avg",LF,0.24,A1,100,,18.48,14.08,$32.56
02-46-13-40-2008,"Gas piping demolition, remove welded steel pipe, not including excavation, 5"" diameter, maximum",               Maximum,"Remove welded steel pipe, w/out excavation, 5""D, max",LF,0.3,A1,80,,23.1,17.6,$40.70
02-46-13-40-2020,"Gas piping demolition, remove welded steel pipe, not including excavation, 6"" diameter","               6"" dia.","Remove welded steel pipe, w/out excavation, 6"" dia.",LF,0.3,A1,80,,23.1,17.6,$40.70
02-46-13-40-2022,"            6"" dia.","            6"" dia.",,,,,,,,,
02-46-13-40-2024,"Gas piping demolition, remove welded steel pipe, not including excavation, 6"" diameter, minimum",               Minimum,"Remove welded steel pipe, w/out excavation, 6""D, min",LF,0.253,A1,95,,19.58,14.74,$34.32
02-46-13-40-2026,"Gas piping demolition, remove welded steel pipe, not including excavation, 6"" diameter, average",               Average,"Remove welded steel pipe, w/out excavation, 6""D, avg",LF,0.3,A1,80,,23.1,17.6,$40.70
02-46-13-40-2028,"Gas piping demolition, remove welded steel pipe, not including excavation, 6"" diameter, maximum",               Maximum,"Remove welded steel pipe, w/out excavation, 6""D, max",LF,0.4,A1,60,,30.8,23.54,$54.34
02-46-13-40-2030,"Gas piping demolition, remove welded steel pipe, not including excavation, 8"" diameter","               8"" dia.","Remove welded steel pipe, w/out excavation, 8"" dia.",LF,0.48,A1,50,,36.96,28.16,$65.12
02-46-13-40-2032,"            8"" dia.","            8"" dia.",,,,,,,,,
02-46-13-40-2034,"Gas piping demolition, remove welded steel pipe, not including excavation, 8"" diameter, minimum",               Minimum,"Remove welded steel pipe, w/out excavation, 8""D, min",LF,0.369,A1,65,,28.38,21.56,$49.94
02-46-13-40-2036,"Gas piping demolition, remove welded steel pipe, not including excavation, 8"" diameter, average",               Average,"Remove welded steel pipe, w/out excavation, 8""D, avg",LF,0.48,A1,50,,36.96,28.16,$65.12
02-46-13-40-2038,"Gas piping demolition, remove welded steel pipe, not including excavation, 8"" diameter, maximum",               Maximum,"Remove welded steel pipe, w/out excavation.8""D, max",LF,0.632,A1,38,,48.4,36.96,$85.36
02-46-13-40-2040,"Gas piping demolition, remove welded steel pipe, not including excavation, 10"" diameter","               10"" dia.","Remove welded steel pipe, w/out excavation, 10"" dia.",LF,0.6,A1,40,,46.64,35.2,$81.84
02-46-13-40-2042,"            10"" dia.","            10"" dia.",,,,,,,,,
02-46-13-40-2044,"Gas piping demolition, remove welded steel pipe, not including excavation, 10"" diameter, minimum",               Minimum,"Remove welded steel pipe, w/out excavation, 10""D, min",LF,0.48,A1,50,,36.96,28.16,$65.12
02-46-13-40-2046,"Gas piping demolition, remove welded steel pipe, not including excavation, 10"" diameter, average",               Average,"Remove welded steel pipe, w/out excavation, 10""D, avg",LF,0.6,A1,40,,46.64,35.2,$81.84
02-46-13-40-2048,"Gas piping demolition, remove welded steel pipe, not including excavation, 10"" diameter, maximum",               Maximum,"Remove welded steel pipe, w/out excavation, 10""D, max",LF,0.8,A1,30,,61.6,46.64,$108.24
02-47,SANITARY PIPING DEMOLITION,SANITARY PIPING DEMOLITION,SANITARY PIPING DEMOLITION,,,,,,,,
02-47-13-40,SANITARY PIPING DEMOLITION,SANITARY PIPING DEMOLITION,SANITARY PIPING,,,,,,,,
02-47-13-40-0980,"   Remove sewer pipe, not including excavation","   Remove sewer pipe, not including excavation",,,,,,,,,
02-47-13-40-1000,"Sanitary piping demolition, remove sewer pipe, not including excavation, 4"" diameter","               4"" dia.","Remove sewer pipe, no excavation, 4"" dia.",LF,0.096,A1,250,,7.39,5.63,$13.02
02-47-13-40-1002,"            4"" dia.","            4"" dia.",,,,,,,,,
02-47-13-40-1004,"Sanitary piping demolition, remove sewer pipe, not including excavation, 4"" diameter, minimum",               Minimum,"Remove sewer pipe, no excavation, 4"" dia, min",LF,0.067,A1,360,,5.13,3.91,$9.04
02-47-13-40-1006,"Sanitary piping demolition, remove sewer pipe, not including excavation, 4"" diameter, average",               Average,"Remove sewer pipe, no excavation, 4"" dia, avg",LF,0.096,A1,250,,7.39,5.63,$13.02
02-47-13-40-1008,"Sanitary piping demolition, remove sewer pipe, not including excavation, 4"" diameter, maximum",               Maximum,"Remove sewer pipe, no excavation, 4"" dia, max",LF,0.16,A1,150,,12.32,9.46,$21.78
02-47-13-40-1020,"Sanitary piping demolition, remove sewer pipe, not including excavation, 6"" diameter","               6"" dia.","Remove sewer pipe, no excavation, 6"" dia.",LF,0.109,A1,220,,8.4,6.4,$14.80
02-47-13-40-1022,"            6"" dia.","            6"" dia.",,,,,,,,,
02-47-13-40-1024,"Sanitary piping demolition, remove sewer pipe, not including excavation, 6"" diameter, minimum",               Minimum,"Remove sewer pipe, no excavation, 6"" dia, min",LF,0.075,A1,320,,5.77,4.4,$10.17
02-47-13-40-1026,"Sanitary piping demolition, remove sewer pipe, not including excavation, 6"" diameter, average",               Average,"Remove sewer pipe, no excavation, 6"" dia, avg",LF,0.109,A1,220,,8.4,6.4,$14.80
02-47-13-40-1028,"Sanitary piping demolition, remove sewer pipe, not including excavation, 6"" diameter, maximum",               Maximum,"Remove sewer pipe, no excavation, 6"" dia, max",LF,0.2,A1,120,,15.4,11.66,$27.06
02-47-13-40-1040,"Sanitary piping demolition, remove sewer pipe, not including excavation, 8"" diameter","               8"" dia.","Remove sewer pipe, no excavation, 8"" dia.",LF,0.12,A1,200,,9.24,7.04,$16.28
02-47-13-40-1042,"            8"" dia.","            8"" dia.",,,,,,,,,
02-47-13-40-1044,"Sanitary piping demolition, remove sewer pipe, not including excavation, 8"" diameter, minimum",               Minimum,"Remove sewer pipe, no excavation, 8"" dia, min",LF,0.08,A1,300,,6.16,4.69,$10.85
02-47-13-40-1046,"Sanitary piping demolition, remove sewer pipe, not including excavation, 8"" diameter, average",               Average,"Remove sewer pipe, no excavation, 8"" dia, avg",LF,0.12,A1,200,,9.24,7.04,$16.28
02-47-13-40-1048,"Sanitary piping demolition, remove sewer pipe, not including excavation, 8"" diameter, maximum",               Maximum,"Remove sewer pipe, no excavation, 8"" dia, max",LF,0.24,A1,100,,18.48,14.08,$32.56
